frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,frame.len
1781429878.077025097,192.168.1.132,192.168.1.12,22,53798,92,148
1781429878.120101926,192.168.1.12,192.168.1.132,53798,22,0,62
1781429878.133838375,192.168.1.12,192.168.1.132,53798,22,92,148
1781429878.143357731,192.168.1.132,192.168.1.12,22,53798,100,156
1781429878.189802485,192.168.1.12,192.168.1.132,53798,22,0,62
1781429878.669699269,192.168.1.132,192.168.1.12,22,53798,92,148
1781429878.711328770,192.168.1.12,192.168.1.132,53798,22,0,62
1781429878.727634043,192.168.1.12,192.168.1.132,53798,22,92,148
1781429878.740029590,192.168.1.132,192.168.1.12,22,53798,100,156
1781429878.781907348,192.168.1.12,192.168.1.132,53798,22,0,62
1781429879.177674302,192.168.1.132,192.168.1.12,22,53798,92,148
1781429879.219678704,192.168.1.12,192.168.1.132,53798,22,0,62
1781429879.236504684,192.168.1.12,192.168.1.132,53798,22,92,148
1781429879.246878093,192.168.1.132,192.168.1.12,22,53798,100,156
1781429879.289571920,192.168.1.12,192.168.1.132,53798,22,0,62
1781429879.658092421,192.168.1.12,192.168.1.132,53798,22,84,140
1781429879.663012399,192.168.1.12,192.168.1.132,53798,22,92,148
1781429879.664447420,192.168.1.132,192.168.1.12,22,53798,0,56
1781429879.677319596,192.168.1.12,192.168.1.132,53798,22,84,140
1781429879.684091023,192.168.1.132,192.168.1.12,22,53798,100,156
1781429879.710831319,192.168.1.132,192.168.1.12,22,53798,92,148
1781429879.713913932,192.168.1.12,192.168.1.132,53798,22,0,62
1781429879.767315459,192.168.1.12,192.168.1.132,53798,22,92,148
1781429879.780140915,192.168.1.132,192.168.1.12,22,53798,100,156
1781429879.823845580,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.214328635,192.168.1.132,192.168.1.12,22,53798,92,148
1781429880.259805177,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.270884446,192.168.1.12,192.168.1.132,53798,22,92,148
1781429880.281278556,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.322884030,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.487381080,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.530011791,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.546380352,192.168.1.12,192.168.1.132,53798,22,100,156
1781429880.587447848,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.603000995,192.168.1.132,192.168.1.12,22,53798,92,148
1781429880.608085886,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.613218664,192.168.1.12,192.168.1.132,53798,22,92,148
1781429880.624137302,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.665204992,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.665205680,192.168.1.12,192.168.1.132,53798,22,92,148
1781429880.683396443,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.725601002,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.733628499,192.168.1.132,192.168.1.12,22,53798,92,148
1781429880.788765929,192.168.1.12,192.168.1.132,53798,22,0,62
1781429880.790704931,192.168.1.12,192.168.1.132,53798,22,100,156
1781429880.800162233,192.168.1.132,192.168.1.12,22,53798,100,156
1781429880.843542504,192.168.1.12,192.168.1.132,53798,22,0,62
1781429881.019173972,100.75.21.72,100.88.89.12,22,55630,52,108
1781429881.116208102,192.168.1.132,192.168.1.12,22,53798,84,140
1781429881.141136380,100.88.89.12,100.75.21.72,55630,22,0,56
1781429881.159994617,192.168.1.12,192.168.1.132,53798,22,0,62
1781429881.288099166,192.168.1.132,192.168.1.12,22,53798,92,148
1781429881.334951133,192.168.1.12,192.168.1.132,53798,22,0,62
1781429881.341263145,192.168.1.132,192.168.1.12,22,53798,92,148
1781429881.352999943,192.168.1.12,192.168.1.132,53798,22,108,164
1781429881.367283619,192.168.1.132,192.168.1.12,22,53798,116,172
1781429881.408860178,192.168.1.12,192.168.1.132,53798,22,0,62
1781429881.793482212,192.168.1.132,192.168.1.12,22,53798,92,148
1781429881.835704972,192.168.1.12,192.168.1.132,53798,22,0,62
1781429881.848730734,192.168.1.12,192.168.1.132,53798,22,92,148
1781429881.863277054,192.168.1.132,192.168.1.12,22,53798,100,156
1781429881.909234698,192.168.1.12,192.168.1.132,53798,22,0,62
1781429882.305041254,192.168.1.132,192.168.1.12,22,53798,92,148
1781429882.347912376,192.168.1.12,192.168.1.132,53798,22,0,62
1781429882.361426760,192.168.1.12,192.168.1.132,53798,22,100,156
1781429882.369110694,192.168.1.132,192.168.1.12,22,53798,100,156
1781429882.410877200,192.168.1.12,192.168.1.132,53798,22,0,62
1781429882.821940966,192.168.1.132,192.168.1.12,22,53798,92,148
1781429882.863650605,192.168.1.12,192.168.1.132,53798,22,0,62
1781429882.879686264,192.168.1.12,192.168.1.132,53798,22,92,148
1781429882.889958430,192.168.1.132,192.168.1.12,22,53798,100,156
1781429882.934136930,192.168.1.12,192.168.1.132,53798,22,0,62
1781429882.991420891,192.168.1.132,192.168.1.12,22,53798,92,148
1781429883.036789085,192.168.1.12,192.168.1.132,53798,22,0,62
1781429883.347787047,192.168.1.132,192.168.1.12,22,53798,92,148
1781429883.389568406,192.168.1.12,192.168.1.132,53798,22,0,62
1781429883.406800088,192.168.1.12,192.168.1.132,53798,22,92,148
1781429883.416571435,192.168.1.132,192.168.1.12,22,53798,100,156
1781429883.459907021,192.168.1.12,192.168.1.132,53798,22,0,62
1781429883.848239104,192.168.1.132,192.168.1.12,22,53798,92,148
1781429883.889471474,192.168.1.12,192.168.1.132,53798,22,0,62
1781429883.906730063,192.168.1.12,192.168.1.132,53798,22,92,148
1781429883.916317317,192.168.1.132,192.168.1.12,22,53798,100,156
1781429883.957317105,192.168.1.12,192.168.1.132,53798,22,0,62
1781429884.355786555,192.168.1.132,192.168.1.12,22,53798,92,148
1781429884.398427482,192.168.1.12,192.168.1.132,53798,22,0,62
1781429884.413665615,192.168.1.12,192.168.1.132,53798,22,92,148
1781429884.428195659,192.168.1.132,192.168.1.12,22,53798,100,156
1781429884.470322942,192.168.1.12,192.168.1.132,53798,22,0,62
1781429884.657417878,192.168.1.12,192.168.1.132,53798,22,84,140
1781429884.666527910,192.168.1.12,192.168.1.132,53798,22,92,148
1781429884.666912952,192.168.1.132,192.168.1.12,22,53798,0,56
1781429884.675758947,192.168.1.12,192.168.1.132,53798,22,84,140
1781429884.678096327,192.168.1.132,192.168.1.12,22,53798,100,156
1781429884.720595767,192.168.1.12,192.168.1.132,53798,22,0,62
1781429884.929631852,192.168.1.132,192.168.1.12,22,53798,92,148
1781429884.976056327,192.168.1.12,192.168.1.132,53798,22,0,62
1781429884.989914461,192.168.1.12,192.168.1.132,53798,22,92,148
1781429885.005856530,192.168.1.132,192.168.1.12,22,53798,100,156
1781429885.049762926,192.168.1.12,192.168.1.132,53798,22,0,62
1781429885.491110990,192.168.1.132,192.168.1.12,22,53798,92,148
1781429885.533034723,192.168.1.12,192.168.1.132,53798,22,0,62
1781429885.548965513,192.168.1.12,192.168.1.132,53798,22,92,148
1781429885.559569676,192.168.1.132,192.168.1.12,22,53798,100,156
1781429885.601524287,192.168.1.12,192.168.1.132,53798,22,0,62
1781429886.021692231,192.168.1.132,192.168.1.12,22,53798,92,148
1781429886.063482029,192.168.1.12,192.168.1.132,53798,22,0,62
1781429886.087596812,192.168.1.12,192.168.1.132,53798,22,92,148
1781429886.101698097,192.168.1.132,192.168.1.12,22,53798,100,156
1781429886.118900517,192.168.1.132,192.168.1.12,22,53798,84,140
1781429886.122101468,192.168.1.12,192.168.1.132,53798,22,0,62
1781429886.522648856,192.168.1.132,192.168.1.12,22,53798,92,148
1781429886.565595303,192.168.1.12,192.168.1.132,53798,22,0,62
1781429886.581010726,192.168.1.12,192.168.1.132,53798,22,92,148
1781429886.588887786,192.168.1.132,192.168.1.12,22,53798,100,156
1781429886.598381645,192.168.1.132,192.168.1.12,22,53798,92,148
1781429886.600083635,192.168.1.12,192.168.1.132,53798,22,0,62
1781429886.604591146,192.168.1.12,192.168.1.132,53798,22,92,148
1781429886.624161622,192.168.1.132,192.168.1.12,22,53798,100,156
1781429886.666058538,192.168.1.12,192.168.1.132,53798,22,0,62
1781429887.215669651,192.168.1.132,192.168.1.12,22,53798,92,148
1781429887.257471509,192.168.1.12,192.168.1.132,53798,22,0,62
1781429887.273863135,192.168.1.12,192.168.1.132,53798,22,92,148
